sandstorm_budget,initial_water,initial_food,training_samples_per_model,feasible,worst_failure_rate,worst_mean_penalized_value,worst_p05
7,200,260,500,False,0.014,7660.42,6910.0
7,200,270,500,False,0.014,7610.42,6860.0
7,200,280,500,False,0.014,7560.42,6810.0
7,210,180,500,False,0.034,7446.015,7285.0
7,210,190,500,False,0.026,7538.095,7230.0
7,210,200,500,False,0.018,7694.46,7180.0
7,210,210,500,False,0.012,7881.345,7135.0
7,210,220,500,False,0.016,8055.535,7085.0
7,210,230,500,False,0.016,8011.365,7035.0
7,210,240,500,False,0.016,7961.365,6985.0
7,210,250,500,False,0.016,7911.365,6935.0
7,210,260,500,False,0.016,7861.365,6885.0
7,210,270,500,False,0.016,7811.365,6835.0
7,210,280,500,False,0.016,7761.365,6785.0
7,220,180,500,False,0.034,7421.865,7260.0
7,220,190,500,False,0.026,7513.745,7205.0
7,220,200,500,False,0.018,7669.46,7155.0
7,220,210,500,False,0.012,7856.345,7110.0
7,220,220,500,False,0.014,8107.955,7060.0
7,220,230,500,False,0.008,8406.38,7075.0
7,220,240,500,False,0.008,8384.31,7025.0
7,220,250,500,False,0.008,8334.31,6975.0
7,220,260,500,False,0.008,8284.31,6925.0
7,220,270,500,False,0.008,8234.31,6875.0
7,230,180,500,False,0.034,7397.715,7235.0
7,230,190,500,False,0.026,7489.395,7180.0
7,230,200,500,False,0.018,7644.46,7130.0
7,230,210,500,False,0.012,7831.345,7085.0
7,230,220,500,False,0.014,8082.955,7035.0
7,230,230,500,False,0.01,8408.275,7055.0
7,230,240,500,False,0.012,8742.73,7070.0
7,230,250,500,False,0.012,8713.205,7020.0
7,240,180,500,False,0.034,7373.565,7210.0
7,240,190,500,False,0.026,7465.045,7155.0
7,240,200,500,False,0.018,7619.46,7105.0
7,240,210,500,False,0.012,7806.345,7060.0
7,240,220,500,False,0.014,8057.955,7010.0
7,240,230,500,False,0.01,8383.275,7030.0
7,240,240,500,False,0.008,8811.575,7050.0
7,250,180,500,False,0.034,7349.415,7185.0
7,250,190,500,False,0.026,7440.695,7130.0
7,250,200,500,False,0.018,7594.46,7080.0
7,250,210,500,False,0.012,7781.345,7035.0
7,250,220,500,False,0.014,8032.955,6985.0
7,260,180,500,False,0.034,7325.265,7160.0
7,260,190,500,False,0.026,7416.345,7105.0
7,260,200,500,False,0.018,7569.46,7055.0
7,260,210,500,False,0.012,7756.345,7010.0
7,270,180,500,False,0.034,7301.115,7135.0
7,270,190,500,False,0.026,7391.995,7080.0
7,280,180,500,False,0.034,7276.965,7110.0
8,180,180,500,False,0.034,7483.04,7360.0
8,180,190,500,False,0.026,7528.085,7310.0
8,180,200,500,False,0.026,7479.385,7260.0
8,180,210,500,False,0.026,7430.685,7210.0
8,180,220,500,False,0.026,7381.985,7160.0
8,180,230,500,False,0.026,7333.285,7110.0
8,180,240,500,False,0.026,7284.585,7060.0
8,180,250,500,False,0.026,7235.885,7010.0
8,180,260,500,False,0.026,7187.185,6960.0
8,180,270,500,False,0.026,7138.485,6910.0
8,180,280,500,False,0.026,7089.785,6860.0
8,190,180,500,False,0.034,7458.89,7335.0
8,190,190,500,False,0.02,7546.915,7285.0
8,190,200,500,False,0.02,7582.6,7235.0
8,190,210,500,False,0.02,7533.6,7185.0
8,190,220,500,False,0.02,7484.6,7135.0
8,190,230,500,False,0.02,7435.6,7085.0
8,190,240,500,False,0.02,7386.6,7035.0
8,190,250,500,False,0.02,7337.6,6985.0
8,190,260,500,False,0.02,7288.6,6935.0
8,190,270,500,False,0.02,7239.6,6885.0
8,190,280,500,False,0.02,7190.6,6835.0
8,200,180,500,False,0.034,7434.74,7310.0
8,200,190,500,False,0.02,7522.415,7260.0
8,200,200,500,False,0.016,7586.29,7210.0
8,200,210,500,False,0.01,7669.46,7160.0
8,200,220,500,False,0.01,7626.16,7110.0
8,200,230,500,False,0.01,7576.16,7060.0
8,200,240,500,False,0.01,7526.16,7010.0
8,200,250,500,False,0.01,7476.16,6960.0
8,200,260,500,False,0.01,7426.16,6910.0
8,200,270,500,False,0.01,7376.16,6860.0
8,200,280,500,False,0.01,7326.16,6810.0
8,210,180,500,False,0.034,7410.59,7285.0
8,210,190,500,False,0.02,7497.915,7235.0
8,210,200,500,False,0.016,7561.69,7185.0
